Game,Flavor Text
gold,"The scent of spices comes from around its neck. Somehow, sniffing it makes you want to fight."
silver,A spicy aroma ema­ nates from around its neck. The aroma acts as a stimulant to re­ store health.
crystal,The scent that wafts from the leaves on its neck causes anyone who smells it to become energetic.
ruby,BAYLEEF’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.
sapphire,BAYLEEF’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.
emerald,A BAYLEEF’s neck is ringed by curled-up leaves. Inside each leaf is a small tree shoot. The fragrance of this shoot makes people peppy.
firered,A spicy aroma emanates from around its neck. The aroma acts as a stimulant to restore health.
leafgreen,"The scent of spices comes from around its neck. Somehow, sniffing it makes you want to fight."
diamond,The buds that ring its neck give off a spicy aroma that perks people up.
pearl,The buds that ring its neck give off a spicy aroma that perks people up.
platinum,The buds that ring its neck give off a spicy aroma that perks people up.
heartgold,"The scent of spices comes from around its neck. Somehow, sniffing it makes you want to fight."
soulsilver,A spicy aroma emanates from around its neck. The aroma acts as a stimulant to restore health.
black,The buds that ring its neck give off a spicy aroma that perks people up.
white,The buds that ring its neck give off a spicy aroma that perks people up.
black-2,The buds that ring its neck give off a spicy aroma that perks people up.
white-2,The buds that ring its neck give off a spicy aroma that perks people up.
x,A spicy aroma emanates from around its neck. The aroma acts as a stimulant to restore health.
y,The buds that ring its neck give off a spicy aroma that perks people up.
omega-ruby,Bayleef’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.
alpha-sapphire,Bayleef’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.
