Game,Flavor Text
diamond,"A Pokémon formed by the spirits of people and Pokémon. It loves damp, humid seasons."
pearl,"It tugs on the hands of children to steal them away. However, it gets pulled around instead."
platinum,"Because of the way it floats aimlessly, an old folktale calls it a “Signpost for Wandering Spirits.”"
heartgold,It is whispered that any child who mistakes DRIFLOON for a balloon and holds on to it could wind up missing.
soulsilver,It is whispered that any child who mistakes DRIFLOON for a balloon and holds on to it could wind up missing.
black,"Because of the way it floats aimlessly, an old folktale calls it a “Signpost for Wandering Spirits.”"
white,"Because of the way it floats aimlessly, an old folktale calls it a “Signpost for Wandering Spirits.”"
black-2,These Pokémon are called the “Signpost for Wandering Spirits.” Children holding them sometimes vanish.
white-2,These Pokémon are called the “Signpost for Wandering Spirits.” Children holding them sometimes vanish.
x,"A Pokémon formed by the spirits of people and Pokémon. It loves damp, humid seasons."
y,These Pokémon are called the “Signpost for Wandering Spirits.” Children holding them sometimes vanish.
omega-ruby,"A Pokémon formed by the spirits of people and Pokémon. It loves damp, humid seasons."
alpha-sapphire,These Pokémon are called the “Signpost for Wandering Spirits.” Children holding them sometimes vanish.
sun,Stories go that it grabs the hands of small children and drags them away to the afterlife. It dislikes heavy children.
moon,"If for some reason its body bursts, its soul spills out with a screaming sound."
ultra-sun,Its round body is stuffed with souls and expands each time it leads someone away.
ultra-moon,"Wandering souls gathered together to form this Pokémon. When trying to make friends with children, Drifloon grabs them by the hand."
sword,"Perhaps seeking company, it approaches children. However, it often quickly runs away again when the children play too roughly with it."
shield,"The gathering of many souls gave rise to this Pokémon. During humid seasons, they seem to appear in abundance."
legends-arceus,"Said to lure away young children and carry them off to the afterlife. Some whisper that Drifloon are formed of reincarnated human souls, but these rumors are as yet unconfirmed."
