Game,Flavor Text
diamond,It sprays a vile-smelling fluid from the tip of its tail to attack. Its range is over 160 feet.
pearl,It sprays a stinky fluid from its tail. The fluid smells worse the longer it is allowed to fester.
platinum,It attacks by spraying a horribly smelly fluid from the tip of its tail. Attacks from above confound it.
heartgold,"It attacks by spraying a repugnant fluid from its tail, but the stench dulls after a few squirts."
soulsilver,"It attacks by spraying a repugnant fluid from its tail, but the stench dulls after a few squirts."
black,It attacks by spraying a horribly smelly fluid from the tip of its tail. Attacks from above confound it.
white,It attacks by spraying a horribly smelly fluid from the tip of its tail. Attacks from above confound it.
black-2,It attacks by spraying a horribly smelly fluid from the tip of its tail. Attacks from above confound it.
white-2,It attacks by spraying a horribly smelly fluid from the tip of its tail. Attacks from above confound it.
x,It sprays a vile-smelling fluid from the tip of its tail to attack. Its range is over 160 feet.
y,It sprays a stinky fluid from its tail. The fluid smells worse the longer it is allowed to fester.
omega-ruby,It sprays a vile-smelling fluid from the tip of its tail to attack. Its range is over 160 feet.
alpha-sapphire,It sprays a stinky fluid from its tail. The fluid smells worse the longer it is allowed to fester.
sword,"In its belly, it reserves stinky fluid that it shoots from its tail during battle. As this Pokémon’s diet varies, so does the stench of its fluid."
shield,It digs holes in the ground to make its nest. The stench of the fluid it lets fly from the tip of its tail is extremely potent.
legends-arceus,"Sprays a poisonous fluid to take down prey. Sometimes, unable to stomach the stench of its own fluid, it leaves the bested prey uneaten."
