Game,Flavor Text
diamond,Its impressive tusks are made of ice. The population thinned when it turned warm after the ice age.
pearl,Its impressive tusks are made of ice. The population thinned when it turned warm after the ice age.
platinum,"A frozen one was dug up from soil dating back 10,000 years. It woke up to much amazement."
heartgold,"A frozen MAMOSWINE was dug from ice dating back 10,000 years. This Pokémon has been around a long, long, long time."
soulsilver,It flourished worldwide during the ice age but its population declined when the masses of ice began to dwindle.
black,"A frozen one was dug up from soil dating back 10,000 years. It woke up to much amazement."
white,"A frozen one was dug up from soil dating back 10,000 years. It woke up to much amazement."
black-2,"When the temperature rose at the end of the ice age, most Mamoswine disappeared."
white-2,"When the temperature rose at the end of the ice age, most Mamoswine disappeared."
x,"A frozen Mamoswine was dug from ice dating back 10,000 years. This Pokémon has been around a long, long, long time."
y,Its impressive tusks are made of ice. The population thinned when it turned warm after the ice age.
omega-ruby,"A frozen Mamoswine was dug from ice dating back 10,000 years. This Pokémon has been around a long, long, long time."
alpha-sapphire,Its impressive tusks are made of ice. The population thinned when it turned warm after the ice age.
sword,"This Pokémon can be spotted in wall paintings from as far back as 10,000 years ago. For a while, it was thought to have gone extinct."
shield,"It looks strong, and that’s exactly what it is. As the weather grows colder, its ice tusks grow longer, thicker, and more impressive."
legends-arceus,"This species reached its zenith during the period known as the ice age. I suspect that Hisui's frigid climate is in harmony with Mamoswine's constitution, thus awakening hidden potential."
