Game,Flavor Text
diamond,It blooms during times of strong sunlight. It tries to make up for everything it endured as a bud.
pearl,"It is docile as a bud, but turns cheerful when it blooms. It folds back into a bud if sunlight wanes."
platinum,"If it senses strong sunlight, it opens its folded petals to absorb the sun’s rays with its whole body."
heartgold,"During times of strong sunlight, its bud blooms, its petals open fully, and it becomes very active."
soulsilver,"During times of strong sunlight, its bud blooms, its petals open fully, and it becomes very active."
black,"If it senses strong sunlight, it opens its folded petals to absorb the sun’s rays with its whole body."
white,"If it senses strong sunlight, it opens its folded petals to absorb the sun’s rays with its whole body."
black-2,"If it senses strong sunlight, it opens its folded petals to absorb the sun’s rays with its whole body."
white-2,"If it senses strong sunlight, it opens its folded petals to absorb the sun’s rays with its whole body."
x,"During times of strong sunlight, its bud blooms, its petals open fully, and it becomes very active."
y,"If it senses strong sunlight, it opens its folded petals to absorb the sun’s rays with its whole body."
omega-ruby,"During times of strong sunlight, its bud blooms, its petals open fully, and it becomes very active."
alpha-sapphire,"If it senses strong sunlight, it opens its folded petals to absorb the sun’s rays with its whole body."
sword,"As a bud, it barely moves. It sits still, placidly waiting for sunlight to appear."
shield,"Its folded petals are pretty tough. Bird Pokémon can peck at them all they want, and Cherrim won’t be bothered at all."
legends-arceus,"Motionless, save for the occasional quiver. A rich array of Pokémon can be found gathered around it, drawn by the scent exuded from Cherrim's folded petals."
