Game,Flavor Text
x,It sends a soothing aura from its ribbonlike feelers to calm fights.
y,It wraps its ribbonlike feelers around the arm of its beloved Trainer and walks with him or her.
omega-ruby,It sends a soothing aura from its ribbonlike feelers to calm fights.
alpha-sapphire,It wraps its ribbonlike feelers around the arm of its beloved Trainer and walks with him or her.
sun,"Its ribbonlike feelers give off an aura that weakens hostility in its prey, causing them to let down their guard. Then it attacks."
moon,"When this Pokémon sights its prey, it swirls its ribbonlike feelers as a distraction. A moment later, it pounces."
ultra-sun,"Once a fight breaks out, it will unflinchingly charge at dragon Pokémon that are many times larger than itself."
ultra-moon,Sylveon wraps its ribbonlike feelers around its Trainer’s arm because this touch enables it to read its Trainer’s feelings.
sword,"By releasing enmity-erasing waves from its ribbonlike feelers, Sylveon stops any conflict."
shield,There’s a Galarian fairy tale that describes a beautiful Sylveon vanquishing a dreadful dragon Pokémon.
legends-arceus,It emits a soothing aura from its ribbon-shaped organs. It wraps these appendages around quarrelers to instantly restore calm to the situation.
