Game,Flavor Text
gold,"If it loses a fang, a new one grows back in its place. There are always 48 fangs lining its mouth."
silver,"It opens its huge jaws wide when attacking. If it loses any fangs while biting, they grow back in."
crystal,"The tips of its fangs are slanted backward. Once those fangs clamp down, the prey has no hope of escape."
ruby,"Once CROCONAW has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when  they have sunk in."
sapphire,"Once CROCONAW has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when  they have sunk in."
emerald,"Once its jaws clamp down on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like fishhooks, they become irremovably embedded."
firered,"It opens its huge jaws wide when attacking. If it loses any fangs while biting, they grow back in."
leafgreen,"If it loses a fang, a new one grows back in its place. There are always 48 fangs lining its mouth."
diamond,"Once it bites down, it won’t let go until it loses its fangs. New fangs quickly grow into place."
pearl,"Once it bites down, it won’t let go until it loses its fangs. New fangs quickly grow into place."
platinum,"Once it bites down, it won’t let go until it loses its fangs. New fangs quickly grow into place."
heartgold,"If it loses a fang, a new one grows back in its place. There are always 48 fangs lining its mouth."
soulsilver,"It opens its huge jaws wide when attacking. If it loses any fangs while biting, they grow back in."
black,"Once it bites down, it won’t let go until it loses its fangs. New fangs quickly grow into place."
white,"Once it bites down, it won’t let go until it loses its fangs. New fangs quickly grow into place."
black-2,"Once it bites down, it won’t let go until it loses its fangs. New fangs quickly grow into place."
white-2,"Once it bites down, it won’t let go until it loses its fangs. New fangs quickly grow into place."
x,"If it loses a fang, a new one grows back in its place. There are always 48 fangs lining its mouth."
y,"Once it bites down, it won’t let go until it loses its fangs. New fangs quickly grow into place."
omega-ruby,"Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in."
alpha-sapphire,"Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in."
