Game,Flavor Text
black,"Concealing itself in lightning clouds, it flies throughout the Unova region. It creates electricity in its tail."
white,"This Pokémon appears in legends. In its tail, it has a giant generator that creates electricity."
black-2,This legendary Pokémon can scorch the world with lightning. It assists those who want to build an ideal world.
white-2,This legendary Pokémon can scorch the world with lightning. It assists those who want to build an ideal world.
x,This legendary Pokémon can scorch the world with lightning. It assists those who want to build an ideal world.
y,"Concealing itself in lightning clouds, it flies throughout the Unova region. It creates electricity in its tail."
omega-ruby,This legendary Pokémon can scorch the world with lightning. It assists those who want to build an ideal world.
alpha-sapphire,"Concealing itself in lightning clouds, it flies throughout the Unova region. It creates electricity in its tail."
sword,"When the interior part of its tail spins like a motor, Zekrom can generate many bolts of lightning to blast its surroundings."
shield,"Mythology tells us that if people lose the righteousness in their hearts, their kingdoms will be razed by Zekrom’s lightning."
