Game,Flavor Text
red,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.
blue,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.
yellow,"The shell can withstand any attack. However, when it is open, the tender body is exposed."
gold,It swims facing backward by open­ ing and closing its two-piece shell. It is surprisingly fast.
silver,Grains of sand trapped in its shells mix with its body fluids to form beautiful pearls.
crystal,"Clamping on to an opponent reveals its vulnerable parts, so it uses this move only as a last resort."
ruby,"At night, this POKéMON uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, SHELLDER closes its shell, but leaves its tongue hanging out."
sapphire,"At night, this POKéMON uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, SHELLDER closes its shell, but leaves its tongue hanging out."
emerald,"At night, it burrows a hole in the seafloor with its broad tongue to make a place to sleep. While asleep, it closes its shell, but leaves its tongue hanging out."
firered,"It is encased in a shell that is harder than diamond. Inside, however, it is surprisingly tender."
leafgreen,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.
diamond,It swims backward by opening and closing its two shells. Its large tongue is always kept hanging out.
pearl,It swims backward by opening and closing its two shells. Its large tongue is always kept hanging out.
platinum,It swims backward by opening and closing its two shells. Its large tongue is always kept hanging out.
heartgold,It swims facing backward by opening and closing its two-piece shell. It is surprisingly fast.
soulsilver,Grains of sand trapped in its shells mix with its body fluids to form beautiful pearls.
black,It swims backward by opening and closing its two shells. Its large tongue is always kept hanging out.
white,It swims backward by opening and closing its two shells. Its large tongue is always kept hanging out.
black-2,It swims backward by opening and closing its two shells. Its large tongue is always kept hanging out.
white-2,It swims backward by opening and closing its two shells. Its large tongue is always kept hanging out.
x,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.
y,"Clamping on to an opponent reveals its vulnerable parts, so it uses this move only as a last resort."
omega-ruby,"At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out."
alpha-sapphire,"At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out."
sun,"The hardness of its shell surpasses the hardness of a diamond. In days gone by, people used the shells to make shields."
moon,This Pokémon’s tongue is always hanging out. It uses its tongue with great dexterity to dig up sand from the seabed in its search for food.
ultra-sun,"The sand that accumulates inside its shell eventually becomes a pearl. But the pearl gets in the way, so it spits it out and discards it."
ultra-moon,"Even when its shell is closed, its tongue still hangs out. If you give its tongue a good yank, the shock will cause Shellder to open its shell."
lets-go-pikachu,"The shell can withstand any attack. However, when it is open, the tender body is exposed."
lets-go-eevee,"The shell can withstand any attack. However, when it is open, the tender body is exposed."
sword,It swims facing backward by opening and closing its two-piece shell. It is surprisingly fast.
shield,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.
