Game,Flavor Text
red,"Bites anything when it attacks. Small and very quick, it is a common sight in many places."
blue,"Bites anything when it attacks. Small and very quick, it is a common sight in many places."
yellow,"Will chew on any­ thing with its fangs. If you see one, it is certain that 40 more live in the area."
gold,"It eats anything. Wherever food is available, it will settle down and produce offspring continuously."
silver,"Living wherever there is food available, it ceaselessly scav­ enges for edibles the entire day."
crystal,This POKéMON's impressive vital­ ity allows it to live anywhere. It also multiplies very quickly.
ruby,"RATTATA is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives - it will make its nest anywhere."
sapphire,"RATTATA is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives - it will make its nest anywhere."
emerald,"A RATTATA is cautious in the extreme. Even while it is asleep, it constantly moves its ears and listens for danger. It will make its nest anywhere."
firered,"Its fangs are long and very sharp. They grow continuously, so it gnaws on hard things to whittle them down."
leafgreen,"Bites anything when it attacks. Small and very quick, it is a common sight in many places."
diamond,"Cautious in the extreme, its hardy vitality lets it live in any kind of environment."
pearl,"Cautious in the extreme, its hardy vitality lets it live in any kind of environment."
platinum,"Cautious in the extreme, its hardy vitality lets it live in any kind of environment."
heartgold,"It eats anything. Wherever food is available, it will settle down and produce offspring continuously."
soulsilver,"Living wherever there is food available, it ceaselessly scavenges for edibles the entire day."
black,"Cautious in the extreme, its hardy vitality lets it live in any kind of environment."
white,"Cautious in the extreme, its hardy vitality lets it live in any kind of environment."
black-2,"It searches for food all day. It gnaws on hard objects to wear down its fangs, which grow constantly during its lifetime."
white-2,"It searches for food all day. It gnaws on hard objects to wear down its fangs, which grow constantly during its lifetime."
x,"Living wherever there is food available, it ceaselessly scavenges for edibles the entire day."
y,"Its fangs are long and very sharp. They grow continuously, so it gnaws on hard things to whittle them down."
omega-ruby,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere."
alpha-sapphire,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere."
sun,"Its incisors continue growing until its death. If its Trainer doesn’t offer it a file to gnaw on, it will gnaw on door frames, table legs, and so on."
moon,"With their strong capacity for survival, they can live in dirty places without concern. Left unchecked, their numbers multiply rapidly."
ultra-sun,"Its incisors grow continuously throughout its life. If its incisors get too long, this Pokémon becomes unable to eat, and it starves to death."
ultra-moon,This Pokémon is common but hazardous. Its sharp incisors can easily cut right through hard wood.
lets-go-pikachu,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area."
lets-go-eevee,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area."
