Game,Flavor Text
gold,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen."
silver,"It has a perfect sense of time. Whatever happens, it keeps rhythm by precisely tilting its head in time."
crystal,It begins to hoot at the same time every day. Some trainers use them in place of clocks.
ruby,"HOOTHOOT has an internal organ that senses and tracks the earth’s rotation. Using this special organ, this POKéMON begins hooting at precisely the same time every day."
sapphire,"HOOTHOOT has an internal organ that senses and tracks the earth’s rotation. Using this special organ, this POKéMON begins hooting at precisely the same time every day."
emerald,"It has an internal organ that senses the earth’s rotation. Using this special organ, a HOOTHOOT begins hooting at precisely the same time every day."
firered,"It has a perfect sense of time. Whatever happens, it keeps rhythm by precisely tilting its head in time."
leafgreen,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen."
diamond,"It always stands on one foot. Even when attacked, it does not brace itself using both feet."
pearl,"It switches its standing foot so quickly, it can’t be seen. It cries at the same time every day."
platinum,"It marks time precisely. Some countries consider it to be a wise friend, versed in the world’s ways."
heartgold,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen."
soulsilver,"It has a perfect sense of time. Whatever happens, it keeps rhythm by precisely tilting its head in time."
black,"It marks time precisely. Some countries consider it to be a wise friend, versed in the world’s ways."
white,"It marks time precisely. Some countries consider it to be a wise friend, versed in the world’s ways."
black-2,"It marks time precisely. Some countries consider it to be a wise friend, versed in the world’s ways."
white-2,"It marks time precisely. Some countries consider it to be a wise friend, versed in the world’s ways."
x,"It has a perfect sense of time. Whatever happens, it keeps rhythm by precisely tilting its head in time."
y,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen."
omega-ruby,"Hoothoot has an internal organ that senses and tracks the earth’s rotation. Using this special organ, this Pokémon begins hooting at precisely the same time every day."
alpha-sapphire,"Hoothoot has an internal organ that senses and tracks the earth’s rotation. Using this special organ, this Pokémon begins hooting at precisely the same time every day."
ultra-sun,"Every day, it tilts its head in the same rhythm. A long time ago, people raised these Pokémon to serve as clocks."
ultra-moon,"It cries out at the same time every day. A long time ago, people cherished it and considered it a divine messenger sent to tell the time."
sword,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen."
shield,It begins to hoot at the same time every day. Some Trainers use them in place of clocks.
