Game,Flavor Text
diamond,It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.
pearl,It makes electricity with pouches in its cheeks and shoots charges from its tail. It lives atop trees.
platinum,A pair may be seen rubbing their cheek pouches together in an effort to share stored electricity.
heartgold,It’s one of the kinds of Pokémon  with electric cheek pouches. It shoots charges from its tail.
soulsilver,It’s one of the kinds of Pokémon  with electric cheek pouches. It shoots charges from its tail.
black,A pair may be seen rubbing their cheek pouches together in an effort to share stored electricity.
white,A pair may be seen rubbing their cheek pouches together in an effort to share stored electricity.
black-2,A pair may be seen rubbing their cheek pouches together in an effort to share stored electricity.
white-2,A pair may be seen rubbing their cheek pouches together in an effort to share stored electricity.
x,It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.
y,A pair may be seen rubbing their cheek pouches together in an effort to share stored electricity.
omega-ruby,It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.
alpha-sapphire,A pair may be seen rubbing their cheek pouches together in an effort to share stored electricity.
legends-arceus,"A species related to the Pikachu line. Though Pachirisu is a calm Pokémon, it still presents a danger should one touch its electrified tail or cheeks."
