Game,Flavor Text
gold,Its well-developed jaws are powerful and capable of crushing anything. Even its trainer must be careful.
silver,It is small but rough and tough. It won't hesitate to take a bite out of anything that moves.
crystal,This rough critter chomps at any moving object it sees. Turning your back on it is not recommended.
ruby,"Despite the smallness of its body, TOTODILE’s jaws are very powerful. While the POKéMON may think it is just playfully nipping, its bite has enough power to cause serious injury."
sapphire,"Despite the smallness of its body, TOTODILE’s jaws are very powerful. While the POKéMON may think it is just playfully nipping, its bite has enough power to cause serious injury."
emerald,"Despite its small body, TOTODILE’s jaws are very powerful. While it may think it is just playfully nipping, its bite has enough strength to cause serious injury."
firered,It is small but rough and tough. It won’t hesitate to take a bite out of anything that moves.
leafgreen,Its well-developed jaws are powerful and capable of crushing anything. Even its TRAINER must be careful.
diamond,It has the habit of biting anything with its developed jaws. Even its Trainer needs to be careful.
pearl,It has the habit of biting anything with its developed jaws. Even its Trainer needs to be careful.
platinum,It has the habit of biting anything with its developed jaws. Even its Trainer needs to be careful.
heartgold,"Its powerful, well-developed jaws are capable of crushing anything. Even its Trainer must be careful."
soulsilver,It is small but rough and tough. It won’t hesitate to take a bite out of anything that moves.
black,It has the habit of biting anything with its developed jaws. Even its Trainer needs to be careful.
white,It has the habit of biting anything with its developed jaws. Even its Trainer needs to be careful.
black-2,It has the habit of biting anything with its developed jaws. Even its Trainer needs to be careful.
white-2,It has the habit of biting anything with its developed jaws. Even its Trainer needs to be careful.
x,It is small but rough and tough. It won’t hesitate to take a bite out of anything that moves.
y,"Its powerful, well-developed jaws are capable of crushing anything. Even its Trainer must be careful."
omega-ruby,"Despite the smallness of its body, Totodile’s jaws are very powerful. While the Pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury."
alpha-sapphire,"Despite the smallness of its body, Totodile’s jaws are very powerful. While the Pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury."
