Game,Flavor Text
black,"It uses its strong psychic power to squeeze its opponent’s brain, causing unendurable headaches."
white,This Pokémon had never been seen until it appeared from far in the desert 50 years ago.
black-2,Rumors of its origin are linked to a UFO crash site in the desert 50 years ago.
white-2,Rumors of its origin are linked to a UFO crash site in the desert 50 years ago.
x,"It uses its strong psychic power to squeeze its opponent’s brain, causing unendurable headaches."
y,Rumors of its origin are linked to a UFO crash site in the desert 50 years ago.
omega-ruby,"It uses its strong psychic power to squeeze its opponent’s brain, causing unendurable headaches."
alpha-sapphire,Rumors of its origin are linked to a UFO crash site in the desert 50 years ago.
ultra-sun,It controls tremendous psychic power. Most reports of alien sightings are actually just people mistaking Elgyem for an alien.
ultra-moon,This Pokémon is shrouded in mystery. It’s said to have appeared from a UFO that fell from the sky about 50 years ago.
sword,"If this Pokémon stands near a TV, strange scenery will appear on the screen. That scenery is said to be from its home."
shield,This Pokémon was discovered about 50 years ago. Its highly developed brain enables it to exert its psychic powers.
