Game,Flavor Text
diamond,"One caused a news sensation when it was dug up at a construction site after a 2,000-year sleep."
pearl,It can summon rain clouds. People long ago revered it as the bringer of plentiful harvests.
platinum,It brought rains by opening portals to another world. It was revered as a bringer of plentiful harvests.
heartgold,Ancient people believed that petitioning BRONZONG for rain was the way to make crops grow.
soulsilver,Ancient people believed that petitioning BRONZONG for rain was the way to make crops grow.
black,It brought rains by opening portals to another world. It was revered as a bringer of plentiful harvests.
white,It brought rains by opening portals to another world. It was revered as a bringer of plentiful harvests.
black-2,"In ages past, this Pokémon was revered as a bringer of rain. It was found buried in the ground."
white-2,"In ages past, this Pokémon was revered as a bringer of rain. It was found buried in the ground."
x,"In ages past, this Pokémon was revered as a bringer of rain. It was found buried in the ground."
y,Ancient people believed that petitioning Bronzong for rain was the way to make crops grow.
omega-ruby,"In ages past, this Pokémon was revered as a bringer of rain. It was found buried in the ground."
alpha-sapphire,Ancient people believed that petitioning Bronzong for rain was the way to make crops grow.
sword,"Some believe it to be a deity that summons rain clouds. When angered, it lets out a warning cry that rings out like the tolling of a bell."
shield,"Many scientists suspect that this Pokémon originated outside the Galar region, based on the patterns on its body."
legends-arceus,Some believe that its bell-like cry opens holes to another world. It has been revered as a deity since ancient times.
