Game,Flavor Text
ruby,CRADILY roams around the ocean floor in search of food. This POKéMON freely extends its tree trunk-like neck and captures unwary prey using its eight tentacles.
sapphire,"CRADILY’s body serves as an anchor, preventing it from being washed away in rough seas. This POKéMON secretes a strong digestive fluid from its tentacles."
emerald,It drags its heavy body along the seafloor. It makes its nest in the shallows of warm seas. CRADILY can be seen on beaches when the tide goes out.
firered,It ensnares prey with its eight tentacles. It then melts the prey with a strong acid before feeding.
leafgreen,It ensnares prey with its eight tentacles. It then melts the prey with a strong acid before feeding.
diamond,"It lives in the shallows of warm seas. When the tide goes out, it digs up prey from beaches."
pearl,"It lives in the shallows of warm seas. When the tide goes out, it digs up prey from beaches."
platinum,"It lives in the shallows of warm seas. When the tide goes out, it digs up prey from beaches."
heartgold,It lives in warm seas. Its heavy body weighs it down so it won’t get washed away in rough weather.
soulsilver,It lives in warm seas. Its heavy body weighs it down so it won’t get washed away in rough weather.
black,"It lives in the shallows of warm seas. When the tide goes out, it digs up prey from beaches."
white,"It lives in the shallows of warm seas. When the tide goes out, it digs up prey from beaches."
black-2,"It lives in the shallows of warm seas. When the tide goes out, it digs up prey from beaches."
white-2,"It lives in the shallows of warm seas. When the tide goes out, it digs up prey from beaches."
x,"It lives in the shallows of warm seas. When the tide goes out, it digs up prey from beaches."
y,It ensnares prey with its eight tentacles. It then melts the prey with a strong acid before feeding.
omega-ruby,Cradily roams around the ocean floor in search of food. This Pokémon freely extends its tree trunk-like neck and captures unwary prey using its eight tentacles.
alpha-sapphire,"Cradily’s body serves as an anchor, preventing it from being washed away in rough seas. This Pokémon secretes a strong digestive fluid from its tentacles."
ultra-sun,"Normally, it lived on shallow sea shoals. When the tide went out, this Pokémon came up on land to search for prey."
ultra-moon,This carnivorous Pokémon lived in primordial seas. It catches prey in its eight tentacles and dissolves them with digestive fluid as it eats.
sword,"It has short legs and can’t walk very fast, but its neck and tentacles can extend to over three times their usual length to nab distant prey."
shield,"Once Cradily catches prey in its tentacles, it digests them whole and absorbs their nutrients."
