Game,Flavor Text
red,"Said to live in huge colonies deep in jungles, although no one has ever returned from there."
blue,"Said to live in huge colonies deep in jungles, although no one has ever returned from there."
yellow,"Lures prey with the sweet aroma of honey. Swallowed whole, the prey is melted in a day, bones and all."
gold,"ACID that has dis­ solved many prey becomes sweeter, making it even more effective at attracting prey."
silver,"This horrifying plant POKéMON at­ tracts prey with aromatic honey, then melts them in its mouth."
crystal,"Once ingested into this POKéMON's body, even the hardest object will melt into nothing."
ruby,"VICTREEBEL has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this POKéMON swallows it whole."
sapphire,"VICTREEBEL has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this POKéMON swallows it whole."
emerald,"The long vine extending from its head is waved about as if it were a living thing to attract prey. When an unsuspecting victim approaches, it is swallowed whole."
firered,Lures prey into its mouth with a honeylike aroma. The helpless prey is melted with a dissolving fluid.
leafgreen,"Said to live in huge colonies deep in jungles, although no one has ever returned from there."
diamond,"It pools in its mouth a fluid with a honeylike scent, which is really an acid that dissolves anything."
pearl,"It pools in its mouth a fluid with a honeylike scent, which is really an acid that dissolves anything."
platinum,"It pools in its mouth a fluid with a honeylike scent, which is really an acid that dissolves anything."
heartgold,"Acid that has dissolved many prey becomes sweeter, making it even more effective at attracting prey."
soulsilver,"This horrifying plant Pokémon attracts prey with aromatic honey, then melts them in its mouth."
black,"It pools in its mouth a fluid with a honeylike scent, which is really an acid that dissolves anything."
white,"It pools in its mouth a fluid with a honeylike scent, which is really an acid that dissolves anything."
black-2,"It pools in its mouth a fluid with a honey-like scent, which is really an acid that dissolves anything."
white-2,"It pools in its mouth a fluid with a honey-like scent, which is really an acid that dissolves anything."
x,"Said to live in huge colonies deep in jungles, although no one has ever returned from there."
y,"Once ingested into this Pokémon’s body, even the hardest object will melt into nothing."
omega-ruby,"Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole."
alpha-sapphire,"Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole."
lets-go-pikachu,"Lures prey with the sweet aroma of honey. Swallowed whole, the prey is dissolved in a day, bones and all."
lets-go-eevee,"Lures prey with the sweet aroma of honey. Swallowed whole, the prey is dissolved in a day, bones and all."
