Game,Flavor Text
leafgreen,It changes body color to blend in with its surroundings. It also changes color if it is happy or sad.
ruby,KECLEON is capable of changing its body colors at will to blend in with its surroundings. There is one exception - this POKéMON can’t change the zigzag pattern on its belly.
sapphire,"KECLEON alters its body coloration to blend in with its surroundings, allowing it to sneak up on its prey unnoticed. Then it lashes out with its long, stretchy tongue to instantly ensnare the unsuspecting target."
emerald,A POKéMON that has the ability to alter its body colors to match its surroundings. A KECLEON reverts to its original colors if it is startled.
firered,It changes body color to blend in with its surroundings. It also changes color if it is happy or sad.
diamond,"It can freely change its body’s color. The zigzag pattern on its belly doesn’t change, however."
pearl,"It can freely change its body’s color. The zigzag pattern on its belly doesn’t change, however."
platinum,"It can freely change its body’s color. The zigzag pattern on its belly doesn’t change, however."
heartgold,It changes its shading to match its surroundings so it can sneak up on prey. Only its belly patterns stay fixed.
soulsilver,It changes its shading to match its surroundings so it can sneak up on prey. Only its belly patterns stay fixed.
black,"It can freely change its body’s color. The zigzag pattern on its belly doesn’t change, however."
white,"It can freely change its body’s color. The zigzag pattern on its belly doesn’t change, however."
black-2,"It can freely change its body’s color. The zigzag pattern on its belly doesn’t change, however."
white-2,"It can freely change its body’s color. The zigzag pattern on its belly doesn’t change, however."
x,"It can freely change its body’s color. The zigzag pattern on its belly doesn’t change, however."
y,It changes its shading to match its surroundings so it can sneak up on prey. Only its belly patterns stay fixed.
omega-ruby,Kecleon is capable of changing its body colors at will to blend in with its surroundings. There is one exception—this Pokémon can’t change the zigzag pattern on its belly.
alpha-sapphire,"Kecleon alters its body coloration to blend in with its surroundings, allowing it to sneak up on its prey unnoticed. Then it lashes out with its long, stretchy tongue to instantly ensnare the unsuspecting target."
ultra-sun,"It changes its hue to blend into its surroundings. If no one takes notice of it for too long, it will pout and never reveal itself."
ultra-moon,"Its color changes for concealment and also when its mood or health changes. The darker the color, the healthier it is."
