Game,Flavor Text
black,They live in groups of a few individuals. Protective membranes shield their eyes from sandstorms.
white,"The special membrane covering its eyes can sense the heat of objects, so it can see its surroundings even in darkness."
black-2,"Protected by thin membranes, their eyes can see even in the dead of night. They live in groups of a few individuals."
white-2,"Protected by thin membranes, their eyes can see even in the dead of night. They live in groups of a few individuals."
x,They live in groups of a few individuals. Protective membranes shield their eyes from sandstorms.
y,"The special membrane covering its eyes can sense the heat of objects, so it can see its surroundings even in darkness."
omega-ruby,They live in groups of a few individuals. Protective membranes shield their eyes from sandstorms.
alpha-sapphire,"The special membrane covering its eyes can sense the heat of objects, so it can see its surroundings even in darkness."
sun,"They move in groups of a few individuals. A female is often the leader of the group, and the males will gather food."
moon,"Thanks to the special membrane covering its eyes, it can see its surroundings clearly, even in the middle of the night."
ultra-sun,"Krokorok really hates it when its body gets cold. On nights when the temperature drops, it digs deep into the desert sands."
ultra-moon,It buries some of its prey in the sand to use as emergency meals when its hunts are unsuccessful.
sword,Krokorok has specialized eyes that enable it to see in the dark. This ability lets Krokorok hunt in the dead of night without getting lost.
shield,"Although this Pokémon has specialized eyes that allow it to see in the dark, Krokorok won’t move much at night—the desert gets cold after sunset."
