Game,Flavor Text
platinum,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey."
red,Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.
blue,Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.
yellow,"Inept at flying high. However, it can fly around very fast to protect its ter­ ritory."
gold,It flaps its short wings to flush out insects from tall grass. It then plucks them with its stubby beak.
silver,"Very protective of its territory, it flaps its short wings busily to dart around at high speed."
crystal,"To protect its territory, it flies around ceaselessly, making high- pitched cries."
ruby,"SPEAROW has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger."
sapphire,"SPEAROW has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger."
emerald,"Its loud cry can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger."
firered,"It busily flits around here and there. Even if it is frail, it can be a tough foe that uses MIRROR MOVE."
leafgreen,Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.
diamond,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey."
pearl,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey."
heartgold,It flaps its short wings to flush out insects from tall grass. It then plucks them with its stubby beak.
soulsilver,"Very protective of its territory, it flaps its short wings busily to dart around at high speed."
black,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey."
white,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey."
black-2,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey."
white-2,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey."
x,"Very protective of its territory, it flaps its short wings busily to dart around at high speed."
y,Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.
omega-ruby,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger."
alpha-sapphire,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger."
sun,Its short wings make it inept at flying. It moves about hurriedly and pecks at Bug-type Pokémon in the tall grass.
moon,Farmers whose fields are troubled by bug Pokémon appreciate Spearow for its vigorous appetite and look after it.
ultra-sun,Its reckless nature leads it to stand up to others—even large Pokémon—if it has to protect its territory.
ultra-moon,"Due to its short wings, it can’t fly long distances. It wanders about restlessly and pecks at bug Pokémon."
lets-go-pikachu,"Inept at flying high. However, it can fly around very fast to protect its territory."
lets-go-eevee,"Inept at flying high. However, it can fly around very fast to protect its territory."
