Game,Flavor Text
diamond,It uses a special kind of martial arts involving all its limbs. Its fire never goes out.
pearl,Its crown of fire is indicative of its fiery nature. It is beaten by none in terms of quickness.
platinum,It uses unique fighting moves with fire on its hands and feet. It will take on any opponent.
heartgold,It tosses its enemies around with agility. It uses all its limbs to fight in its own unique style.
soulsilver,It tosses its enemies around with agility. It uses all its limbs to fight in its own unique style.
black,It uses unique fighting moves with fire on its hands and feet. It will take on any opponent.
white,It uses unique fighting moves with fire on its hands and feet. It will take on any opponent.
black-2,It uses unique fighting moves with fire on its hands and feet. It will take on any opponent.
white-2,It uses unique fighting moves with fire on its hands and feet. It will take on any opponent.
x,Its crown of fire is indicative of its fiery nature. It is beaten by none in terms of quickness.
y,It tosses its enemies around with agility. It uses all its limbs to fight in its own unique style.
omega-ruby,Its crown of fire is indicative of its fiery nature. It is beaten by none in terms of quickness.
alpha-sapphire,It tosses its enemies around with agility. It uses all its limbs to fight in its own unique style.
legends-arceus,"A tall, hardy Pokémon with a dazzling appearance. It shrouds itself in flame and battles as if engaged in dance—truly a sight to behold."
