Game,Flavor Text
diamond,"It shakes its head back to front, causing its antennae to hit each other and sound like a xylophone."
pearl,It chats with others using the sounds of its colliding antennae. These sounds are fall hallmarks.
platinum,"Its legs are short. Whenever it stumbles, its stiff antennae clack with a xylophone-like sound."
heartgold,"When its antennae hit each other, it sounds like the music of a xylophone."
soulsilver,"When its antennae hit each other, it sounds like the music of a xylophone."
black,"Its legs are short. Whenever it stumbles, its stiff antennae clack with a xylophone-like sound."
white,"Its legs are short. Whenever it stumbles, its stiff antennae clack with a xylophone-like sound."
black-2,"Its legs are short. Whenever it stumbles, its stiff antennae clack with a xylophone-like sound."
white-2,"Its legs are short. Whenever it stumbles, its stiff antennae clack with a xylophone-like sound."
x,It chats with others using the sounds of its colliding antennae. These sounds are fall hallmarks.
y,"When its antennae hit each other, it sounds like the music of a xylophone."
omega-ruby,It chats with others using the sounds of its colliding antennae. These sounds are fall hallmarks.
alpha-sapphire,"When its antennae hit each other, it sounds like the music of a xylophone."
legends-arceus,"When the trees take on new hues, more of these Pokémon appear. The tone they create by striking their antennae together resembles that of the marimba, an instrument of foreign lands."
