Game,Flavor Text
black,"Swallowing large amounts of water, they make snow clouds inside their bodies and attack their foes with violent blizzards."
white,"If both heads get angry simultaneously, this Pokémon expels a blizzard, burying everything in snow."
black-2,"Swallowing large amounts of water, they make snow clouds inside their bodies and, when angry, cause violent blizzards."
white-2,"Swallowing large amounts of water, they make snow clouds inside their bodies and, when angry, cause violent blizzards."
x,"If both heads get angry simultaneously, this Pokémon expels a blizzard, burying everything in snow."
y,"Swallowing large amounts of water, they make snow clouds inside their bodies and, when angry, cause violent blizzards."
omega-ruby,"If both heads get angry simultaneously, this Pokémon expels a blizzard, burying everything in snow."
alpha-sapphire,"Swallowing large amounts of water, they make snow clouds inside their bodies and, when angry, cause violent blizzards."
sun,"Each of its two heads has a brain, and when they are in agreement, it attacks its enemies by exhaling a violent blizzard."
moon,"Even if it loses one of its heads, it can live relatively problem-free. It makes snow clouds inside its body."
ultra-sun,"It blasts blizzards from its two mouths. It can create snow anywhere, so it gets a lot of love from skiers and snowboarders."
ultra-moon,"Vanilluxe is born when two Vanillish, half-melted by the day’s light, stick to each other and freeze together in the cold return of night."
sword,"When its anger reaches a breaking point, this Pokémon unleashes a fierce blizzard that freezes every creature around it, be they friend or foe."
shield,People believe this Pokémon formed when two Vanillish stuck together. Its body temperature is roughly 21 degrees Fahrenheit.
