Game,Flavor Text
black,"Blades comprise this Pokémon’s entire body. If battling dulls the blades, it sharpens them on stones by the river."
white,They fight at Bisharp’s command. They cling to their prey and inflict damage by sinking their blades into it.
black-2,"Ignoring their injuries, groups attack by sinking the blades that cover their bodies into their prey."
white-2,"Ignoring their injuries, groups attack by sinking the blades that cover their bodies into their prey."
x,"Blades comprise this Pokémon’s entire body. If battling dulls the blades, it sharpens them on stones by the river."
y,"Ignoring their injuries, groups attack by sinking the blades that cover their bodies into their prey."
omega-ruby,"Blades comprise this Pokémon’s entire body. If battling dulls the blades, it sharpens them on stones by the river."
alpha-sapphire,"Ignoring their injuries, groups attack by sinking the blades that cover their bodies into their prey."
ultra-sun,"After shredding its prey, it sharpens its blades on a stone by the river. Each Pawniard has its own favorite sharpening stone."
ultra-moon,"It follows Bisharp’s orders to a tee when it attacks enemies. After slashing an opponent, Pawniard clangs both of its blades together."
sword,It uses river stones to maintain the cutting edges of the blades covering its body. These sharpened blades allow it to bring down opponents.
shield,"A pack of these Pokémon forms to serve a Bisharp boss. Each Pawniard trains diligently, dreaming of one day taking the lead."
