Game,Flavor Text
diamond,It agilely scales sheer cliffs to live atop craggy mountains. Its fire is put out when it sleeps.
pearl,Its fiery rear end is fueled by gas made in its belly. Even rain can’t extinguish the fire.
platinum,"It is very agile. Before going to sleep, it extinguishes the flame on its tail to prevent fires."
heartgold,The gas made in its belly burns from its rear end. The fire burns weakly when it feels sick.
soulsilver,The gas made in its belly burns from its rear end. The fire burns weakly when it feels sick.
black,"It is very agile. Before going to sleep, it extinguishes the flame on its tail to prevent fires."
white,"It is very agile. Before going to sleep, it extinguishes the flame on its tail to prevent fires."
black-2,"It is very agile. Before going to sleep, it extinguishes the flame on its tail to prevent fires."
white-2,"It is very agile. Before going to sleep, it extinguishes the flame on its tail to prevent fires."
x,Its fiery rear end is fueled by gas made in its belly. Even rain can’t extinguish the fire.
y,The gas made in its belly burns from its rear end. The fire burns weakly when it feels sick.
omega-ruby,Its fiery rear end is fueled by gas made in its belly. Even rain can’t extinguish the fire.
alpha-sapphire,The gas made in its belly burns from its rear end. The fire burns weakly when it feels sick.
legends-arceus,Full of vigor and always in high spirits. It was once known by the name ”Lantern-Tail” and feared as some kind of apparition.
