Game,Flavor Text
red,Long considered a mythical POKéMON until recently when a small colony was found living underwater.
blue,Long considered a mythical POKéMON until recently when a small colony was found living underwater.
yellow,The existence of this mythical POKéMON was only recently confirmed by a fisherman who caught one.
gold,It is born large to start with. It repeatedly sheds its skin as it steadily grows longer.
silver,This POKéMON is full of life ener­ gy. It continually sheds its skin and grows steadily larger.
crystal,"It sheds many lay­ ers of skin as it grows larger. Dur­ ing this process, it is protected by a rapid waterfall."
ruby,DRATINI continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.
sapphire,DRATINI continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.
emerald,A DRATINI continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.
firered,Even the young can exceed 6.5 feet in length. It grows larger by repeatedly shedding skin.
leafgreen,"Long considered a mythical POKéMON until recently, when a small colony was found living underwater."
diamond,It is called the “Mirage Pokémon” because so few have seen it. Its shed skin has been found.
pearl,It is called the “Mirage Pokémon” because so few have seen it. Its shed skin has been found.
platinum,It is called the “Mirage Pokémon” because so few have seen it. Its shed skin has been found.
heartgold,It is born large to start with. It repeatedly sheds its skin as it steadily grows longer.
soulsilver,This Pokémon is full of life energy. It continually sheds its skin and grows steadily larger.
black,It is called the “Mirage Pokémon” because so few have seen it. Its shed skin has been found.
white,It is called the “Mirage Pokémon” because so few have seen it. Its shed skin has been found.
black-2,It is called the “Mirage Pokémon” because so few have seen it. Its shed skin has been found.
white-2,It is called the “Mirage Pokémon” because so few have seen it. Its shed skin has been found.
x,It is called the “Mirage Pokémon” because so few have seen it. Its shed skin has been found.
y,This Pokémon is full of life energy. It continually sheds its skin and grows steadily larger.
omega-ruby,Dratini continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.
alpha-sapphire,Dratini continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.
sun,It grows by molting repeatedly. Boots made from the tanned cast-off skin are a super luxury item.
moon,"After a 10-hour struggle, a fisherman was able to pull one up and confirm its existence."
ultra-sun,"It’s still weak, so it lurks on the floor of bodies of water, eating whatever food sinks down and living a quiet life."
ultra-moon,It sheds its skin—almost on a daily basis—and grows larger. Its skin is soft just after it’s been shed.
lets-go-pikachu,"Long thought to be a myth, this Pokémon’s existence was only recently confirmed by a fisherman who caught one."
lets-go-eevee,"Long thought to be a myth, this Pokémon’s existence was only recently confirmed by a fisherman who caught one."
sword,"Dratini dwells near bodies of rapidly flowing water, such as the plunge pools of waterfalls. As it grows, Dratini will shed its skin many times."
shield,This Pokémon was long considered to be no more than a myth. The small lump on a Dratini’s forehead is actually a horn that’s still coming in.
